name,email,password,balance
gourav,gourav@gmail.com,123456,2991.0
palak,palak@gmail.com,123456789,49641
akshay,akshay@gmail.com,1234567890,10000
vinay,vinay@gmail.com,123,4645
ankit,ankit@gmail.com,12345,6584
nikhil,nikhil@gmail.com,1234,5000
monu,monu@gmail.com,123,0
a,b,c,75.22
x,y,z,0
l,m,n,0
e,f,g,0
harry,harry  @  gmail  .  com,123,0
bull,bull @ gmail . com,7,0
shalini,shalini@gmail.com,12345,0
ram,ram@gmail.com,123456,0
sakshi,sakshi@gmail.com,123456,0
ramesh,ramesh@gmai.com,123,0
aki,aki@gmail.com,123,0
Manish,manish@gmail.com,123,0
danish,danish@gmail.com,123456789,41.0
